sample_name,age,sex,rep,cell,lane
17mo-F-1_S6_L001,17mo,F,1,S6,L001
17mo-F-1_S6_L002,17mo,F,1,S6,L002
17mo-F-2_S12_L001,17mo,F,2,S12,L001
17mo-F-2_S12_L002,17mo,F,2,S12,L002
17mo-M-1_S3_L001,17mo,M,1,S3,L001
17mo-M-1_S3_L002,17mo,M,1,S3,L002
17mo-M-2_S9_L001,17mo,M,2,S9,L001
17mo-M-2_S9_L002,17mo,M,2,S9,L002
17mo-M-3_S15_L001,17mo,M,3,S15,L001
17mo-M-3_S15_L002,17mo,M,3,S15,L002
6mo-F-1_S5_L001,6mo,F,1,S5,L001
6mo-F-1_S5_L002,6mo,F,1,S5,L002
6mo-F-2_S11_L001,6mo,F,2,S11,L001
6mo-F-2_S11_L002,6mo,F,2,S11,L002
6mo-F-3_S17_L001,6mo,F,3,S17,L001
6mo-F-3_S17_L002,6mo,F,3,S17,L002
6mo-M-1_S2_L001,6mo,M,1,S2,L001
6mo-M-1_S2_L002,6mo,M,1,S2,L002
6mo-M-2_S8_L001,6mo,M,2,S8,L001
6mo-M-2_S8_L002,6mo,M,2,S8,L002
6mo-M-3_S14_L001,6mo,M,3,S14,L001
6mo-M-3_S14_L002,6mo,M,3,S14,L002
P30-F-1_S4_L001,P30,F,1,S4,L001
P30-F-1_S4_L002,P30,F,1,S4,L002
P30-F-2_S10_L001,P30,F,2,S10,L001
P30-F-2_S10_L002,P30,F,2,S10,L002
P30-F-3_S16_L001,P30,F,3,S16,L001
P30-F-3_S16_L002,P30,F,3,S16,L002
P30-M-1_S1_L001,P30,M,1,S1,L001
P30-M-1_S1_L002,P30,M,1,S1,L002
P30-M-2_S7_L001,P30,M,2,S7,L001
P30-M-2_S7_L002,P30,M,2,S7,L002
P30-M-3_S13_L001,P30,M,3,S13,L001
P30-M-3_S13_L002,P30,M,3,S13,L002
